Name,Qual,Elevation,Geogr1,Geogr2,Eg el abbreviation,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Abobo,Abobo,530,34.43,7.85,PRECIP,2002,02,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Abobo,Abobo,530,34.43,7.85,PRECIP,2002,04,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,
Abobo,Abobo,530,34.43,7.85,PRECIP,2002,05,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,1.5,0.0,0.0
Abobo,Abobo,530,34.43,7.85,PRECIP,2002,06,09:00,0.0,0.0,0.0,0.0,0.0,0.0,26.5,0.0,6.3,0.0,34.7,0.0,5.7,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,01,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.6,5.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,02,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,03,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,04,09:00,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,9.3,0.0,0.0,0.0,2.8,0.0,1.3,43.3,1.2,
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,05,09:00,10.6,0.0,1.2,0.0,1.0,0.0,0.0,0.0,22.1,0.0,1.6,20.3,6.2,0.0,28.0,33.6,2.4,0.0,2.1,3.3,0.0,9.0,0.0,0.0,25.0,0.0,0.1,0.0,0.0,0.0,0.0
Abobo,Abobo,530,34.43,7.85,PRECIP,2010,06,09:00,11.2,0.0,44.0,0.0,10.5,28.9,0.2,0.0,15.7,0.4,2.8,0.0,27.0,0.0,0.0,5.5,0.0,0.0,0.3,0.0,3.3,0.0,5.2,47.9,0.0,0.0,0.0,0.0,2.7,0.0,
